block_geoid20,blk2020gj,precinct_key,district_num,is_kansas_city,election_county,election_county_aliases
290950150002012,G29009500150002012,JACKSON - 000142,32,0,JACKSON,JACKSON|KANSAS CITY
290950151001013,G29009500151001013,JACKSON - 000007,20,0,JACKSON,JACKSON|KANSAS CITY
290950160002010,G29009500160002010,JACKSON - 000207,23,1,KANSAS CITY,KANSAS CITY|JACKSON
290950076001014,G29009500076001014,JACKSON - 000469,27,1,KANSAS CITY,KANSAS CITY|JACKSON
290950066002008,G29009500066002008,JACKSON - 000434,27,1,KANSAS CITY,KANSAS CITY|JACKSON
290950084001010,G29009500084001010,JACKSON - 000453,25,1,KANSAS CITY,KANSAS CITY|JACKSON
290950083002003,G29009500083002003,JACKSON - K16611,25,1,KANSAS CITY,KANSAS CITY|JACKSON
290950145031003,G29009500145031003,JACKSON - SB1602,20,0,JACKSON,JACKSON|KANSAS CITY
290950186001016,G29009500186001016,JACKSON - 000561,30,0,JACKSON,JACKSON|KANSAS CITY
290950155001002,G29009500155001002,JACKSON - KC1113,19,1,KANSAS CITY,KANSAS CITY|JACKSON
290950155001039,G29009500155001039,JACKSON - 000196,19,1,KANSAS CITY,KANSAS CITY|JACKSON
290950134052008,G29009500134052008,JACKSON - KC2212,36,1,KANSAS CITY,KANSAS CITY|JACKSON
290950186001017,G29009500186001017,JACKSON - 000561,30,0,JACKSON,JACKSON|KANSAS CITY
290950160002034,G29009500160002034,JACKSON - 000207,23,1,KANSAS CITY,KANSAS CITY|JACKSON
290950160002041,G29009500160002041,JACKSON - 000207,23,1,KANSAS CITY,KANSAS CITY|JACKSON
290950023002013,G29009500023002013,JACKSON - 000209,23,1,KANSAS CITY,KANSAS CITY|JACKSON
290950082002016,G29009500082002016,JACKSON - 000456,27,1,KANSAS CITY,KANSAS CITY|JACKSON
290950155001136,G29009500155001136,JACKSON - 000176,19,1,KANSAS CITY,KANSAS CITY|JACKSON
290950122003008,G29009500122003008,JACKSON - 000091,29,0,JACKSON,JACKSON|KANSAS CITY
290950146011025,G29009500146011025,JACKSON - 000092,29,0,JACKSON,JACKSON|KANSAS CITY
290950122003004,G29009500122003004,JACKSON - 000092,29,0,JACKSON,JACKSON|KANSAS CITY
290950116021005,G29009500116021005,JACKSON - 000044,21,0,JACKSON,JACKSON|KANSAS CITY
290950112003010,G29009500112003010,JACKSON - 000010,21,0,JACKSON,JACKSON|KANSAS CITY
290950116012001,G29009500116012001,JACKSON - 000050,21,0,JACKSON,JACKSON|KANSAS CITY
290950116012002,G29009500116012002,JACKSON - 000050,21,0,JACKSON,JACKSON|KANSAS CITY
290950115014016,G29009500115014016,JACKSON - 000026,21,0,JACKSON,JACKSON|KANSAS CITY
290950034004006,G29009500034004006,JACKSON - 000210,23,1,KANSAS CITY,KANSAS CITY|JACKSON
290950165002024,G29009500165002024,JACKSON - 000217,23,1,KANSAS CITY,KANSAS CITY|JACKSON
290950061002011,G29009500061002011,JACKSON - 000461,22,1,KANSAS CITY,KANSAS CITY|JACKSON
290950181011001,G29009500181011001,JACKSON - 000514,34,0,JACKSON,JACKSON|KANSAS CITY
290950185001035,G29009500185001035,JACKSON - 000536,30,0,JACKSON,JACKSON|KANSAS CITY
290950193022051,G29009500193022051,JACKSON - 000623,31,0,JACKSON,JACKSON|KANSAS CITY
290950020001011,G29009500020001011,JACKSON - 000198,19,1,KANSAS CITY,KANSAS CITY|JACKSON
