precinct_key,district_num,area_weight
ADAIR - 000002,4,0.976190
ADAIR - 000002,3,0.023810
ADAIR - 000003,3,1.000000
ADAIR - 000004,4,1.000000
ADAIR - 000005,4,0.490476
ADAIR - 000005,3,0.509524
ADAIR - 000006,3,1.000000
ADAIR - 000007,3,1.000000
ADAIR - 000008,3,1.000000
ADAIR - 000009,3,1.000000
ADAIR - 000010,3,0.940476
ADAIR - 000010,4,0.059524
ADAIR - 000011,3,1.000000
ADAIR - 000012,3,1.000000
ADAIR - 000013,3,1.000000
ADAIR - 000014,3,0.938095
ADAIR - 000014,4,0.061905
ADAIR - 000015,3,1.000000
ADAIR - 000016,3,1.000000
ADAIR - 000017,4,1.000000
ADAIR - 000018,3,0.997619
ADAIR - 000018,4,0.002381
ANDREW - 000002,9,1.000000
ANDREW - 000003,9,1.000000
ANDREW - 000004,9,1.000000
ANDREW - 000005,9,1.000000
ANDREW - 000006,9,1.000000
ANDREW - 000007,9,1.000000
ANDREW - 000008,9,1.000000
ANDREW - 000009,9,1.000000
ANDREW - 000010,9,1.000000
ANDREW - 000011,9,1.000000
ANDREW - 000012,9,1.000000
ANDREW - 000013,9,1.000000
ANDREW - 000014,9,1.000000
ANDREW - 000015,9,1.000000
ANDREW - 000016,9,1.000000
ANDREW - 000017,9,1.000000
ANDREW - 000018,9,1.000000
ANDREW - 000019,9,1.000000
ANDREW - 000020,9,1.000000
ATCHISON - 000002,1,1.000000
ATCHISON - 000003,1,1.000000
ATCHISON - 000004,1,1.000000
ATCHISON - 000005,1,1.000000
ATCHISON - 000006,1,1.000000
ATCHISON - 000007,1,1.000000
AUDRAIN - 000002,43,1.000000
AUDRAIN - 000003,43,1.000000
AUDRAIN - 000004,43,1.000000
AUDRAIN - 000005,43,1.000000
AUDRAIN - 000006,43,1.000000
AUDRAIN - 000007,43,1.000000
AUDRAIN - 000008,43,1.000000
AUDRAIN - 000009,43,1.000000
AUDRAIN - 000010,43,1.000000
AUDRAIN - 000011,43,1.000000
AUDRAIN - 000012,43,1.000000
AUDRAIN - 000013,43,1.000000
AUDRAIN - 000014,43,1.000000
AUDRAIN - 000015,43,1.000000
AUDRAIN - 000017,43,1.000000
AUDRAIN - 000018,43,1.000000
AUDRAIN - 000019,43,1.000000
AUDRAIN - 000020,43,1.000000
AUDRAIN - 000021,43,1.000000
AUDRAIN - 000022,43,1.000000
AUDRAIN - 000023,43,1.000000
AUDRAIN - 000024,43,1.000000
AUDRAIN - 000025,43,1.000000
AUDRAIN - 000026,43,1.000000
BARRY - 000002,158,1.000000
BARRY - 000003,158,1.000000
BARRY - 000004,158,1.000000
BARRY - 000005,158,1.000000
BARRY - 000006,158,1.000000
BARRY - 000007,158,1.000000
BARRY - 000008,158,1.000000
BARRY - 000009,158,1.000000
BARRY - 000010,158,1.000000
BARRY - 000011,158,1.000000
BARRY - 000012,158,1.000000
BARRY - 000013,158,1.000000
BARRY - 000014,158,1.000000
BARRY - 000015,158,1.000000
BARRY - 000016,158,1.000000
BARRY - 000017,158,1.000000
BARRY - 000018,158,1.000000
BARRY - 000019,158,1.000000
BARRY - 000020,158,1.000000
BARRY - 000021,158,1.000000
BARRY - 000022,158,1.000000
BARTON - 000002,127,1.000000
BARTON - 000003,127,1.000000
BARTON - 000004,127,1.000000
BARTON - 000005,127,1.000000
BARTON - 000006,127,1.000000
BARTON - 000007,127,1.000000
BARTON - 000008,127,1.000000
BARTON - 000009,127,1.000000
BARTON - 000010,127,1.000000
BARTON - 000011,127,1.000000
BARTON - 000012,127,1.000000
BARTON - 000013,127,1.000000
BARTON - 000014,127,1.000000
