precinct_key,district_num,area_weight
ADAIR - 000002,18,1.000000
ADAIR - 000003,18,1.000000
ADAIR - 000004,18,1.000000
ADAIR - 000005,18,1.000000
ADAIR - 000006,18,1.000000
ADAIR - 000007,18,1.000000
ADAIR - 000008,18,1.000000
ADAIR - 000009,18,1.000000
ADAIR - 000010,18,1.000000
ADAIR - 000011,18,1.000000
ADAIR - 000012,18,1.000000
ADAIR - 000013,18,1.000000
ADAIR - 000014,18,1.000000
ADAIR - 000015,18,1.000000
ADAIR - 000016,18,1.000000
ADAIR - 000017,18,1.000000
ADAIR - 000018,18,1.000000
ANDREW - 000002,12,1.000000
ANDREW - 000003,12,1.000000
ANDREW - 000004,12,1.000000
ANDREW - 000005,12,1.000000
ANDREW - 000006,12,1.000000
ANDREW - 000007,12,1.000000
ANDREW - 000008,12,1.000000
ANDREW - 000009,12,1.000000
ANDREW - 000010,12,1.000000
ANDREW - 000011,12,1.000000
ANDREW - 000012,12,1.000000
ANDREW - 000013,12,1.000000
ANDREW - 000014,12,1.000000
ANDREW - 000015,12,1.000000
ANDREW - 000016,12,1.000000
ANDREW - 000017,12,1.000000
ANDREW - 000018,12,1.000000
ANDREW - 000019,12,1.000000
ANDREW - 000020,12,1.000000
ATCHISON - 000002,12,1.000000
ATCHISON - 000003,12,1.000000
ATCHISON - 000004,12,1.000000
ATCHISON - 000005,12,1.000000
ATCHISON - 000006,12,1.000000
ATCHISON - 000007,12,1.000000
AUDRAIN - 000002,18,1.000000
AUDRAIN - 000003,18,1.000000
AUDRAIN - 000004,18,1.000000
AUDRAIN - 000005,18,1.000000
AUDRAIN - 000006,18,1.000000
AUDRAIN - 000007,18,1.000000
AUDRAIN - 000008,18,1.000000
AUDRAIN - 000009,18,1.000000
AUDRAIN - 000010,18,1.000000
AUDRAIN - 000011,18,1.000000
AUDRAIN - 000012,18,1.000000
AUDRAIN - 000013,18,1.000000
AUDRAIN - 000014,18,1.000000
AUDRAIN - 000015,18,1.000000
AUDRAIN - 000017,18,1.000000
AUDRAIN - 000018,18,1.000000
AUDRAIN - 000019,18,1.000000
AUDRAIN - 000020,18,1.000000
AUDRAIN - 000021,18,1.000000
AUDRAIN - 000022,18,1.000000
AUDRAIN - 000023,18,1.000000
AUDRAIN - 000024,18,1.000000
AUDRAIN - 000025,18,1.000000
AUDRAIN - 000026,18,1.000000
BARRY - 000002,29,1.000000
BARRY - 000003,29,1.000000
BARRY - 000004,29,1.000000
BARRY - 000005,29,1.000000
BARRY - 000006,29,1.000000
BARRY - 000007,29,1.000000
BARRY - 000008,29,1.000000
BARRY - 000009,29,1.000000
BARRY - 000010,29,1.000000
BARRY - 000011,29,1.000000
BARRY - 000012,29,1.000000
BARRY - 000013,29,1.000000
BARRY - 000014,29,1.000000
BARRY - 000015,29,1.000000
BARRY - 000016,29,1.000000
BARRY - 000017,29,1.000000
BARRY - 000018,29,1.000000
BARRY - 000019,29,1.000000
BARRY - 000020,29,1.000000
BARRY - 000021,29,1.000000
BARRY - 000022,29,1.000000
BARTON - 000002,20,1.000000
BARTON - 000003,20,1.000000
BARTON - 000004,20,1.000000
BARTON - 000005,20,1.000000
BARTON - 000006,20,1.000000
BARTON - 000007,20,1.000000
BARTON - 000008,20,1.000000
BARTON - 000009,20,1.000000
BARTON - 000010,20,1.000000
BARTON - 000011,20,1.000000
BARTON - 000012,20,1.000000
BARTON - 000013,20,1.000000
BARTON - 000014,20,1.000000
BARTON - 000015,20,1.000000
BARTON - 000016,20,1.000000
BARTON - 000017,20,1.000000
BATES - 000002,31,1.000000
BATES - 000003,31,1.000000
BATES - 000004,31,1.000000
BATES - 000005,31,1.000000
BATES - 000006,31,1.000000
BATES - 000007,31,1.000000
BATES - 000008,31,1.000000
BATES - 000009,31,1.000000
BATES - 000010,31,1.000000
BATES - 000011,31,1.000000
BATES - 000012,31,1.000000
BATES - 000013,31,1.000000
BATES - 000014,31,1.000000
BATES - 000015,31,1.000000
BATES - 000016,31,1.000000
BENTON - 000002,28,1.000000
BENTON - 000003,28,1.000000
BENTON - 000004,28,1.000000
BENTON - 000005,28,1.000000
BENTON - 000006,28,1.000000
BENTON - 000007,28,1.000000
BENTON - 000008,28,1.000000
BENTON - 000009,28,1.000000
BENTON - 000010,28,1.000000
BENTON - 000011,28,1.000000
BENTON - 000012,28,1.000000
BENTON - 000013,28,1.000000
BENTON - 000014,28,1.000000
BENTON - 000015,28,1.000000
BOLLINGER - 000002,27,1.000000
BOLLINGER - 000003,27,1.000000
BOLLINGER - 000004,27,1.000000
BOLLINGER - 000005,27,1.000000
BOLLINGER - 000006,27,1.000000
BOLLINGER - 000007,27,1.000000
BOLLINGER - 000008,27,1.000000
BOLLINGER - 000009,27,1.000000
BOLLINGER - 000010,27,1.000000
BOLLINGER - 000011,27,1.000000
BOLLINGER - 000012,27,1.000000
BOLLINGER - 000014,27,1.000000
BOLLINGER - 000015,27,1.000000
BOONE - 000002,19,1.000000
BOONE - 000003,19,1.000000
BOONE - 000004,19,1.000000
BOONE - 000005,19,1.000000
BOONE - 000006,19,1.000000
BOONE - 000007,19,1.000000
BOONE - 000008,19,1.000000
BOONE - 000009,19,1.000000
BOONE - 000010,19,1.000000
BOONE - 000011,19,1.000000
BOONE - 000012,19,1.000000
BOONE - 000013,19,1.000000
BOONE - 000014,19,1.000000
BOONE - 000015,19,1.000000
BOONE - 000016,19,1.000000
BOONE - 000017,19,1.000000
BOONE - 000018,19,1.000000
BOONE - 000019,19,1.000000
BOONE - 000020,19,1.000000
BOONE - 000021,19,1.000000
BOONE - 000022,19,1.000000
BOONE - 000023,19,1.000000
BOONE - 000024,19,1.000000
BOONE - 000025,19,1.000000
BOONE - 000026,19,1.000000
BOONE - 000027,19,1.000000
BOONE - 000028,19,1.000000
BOONE - 000029,19,1.000000
BOONE - 000030,19,1.000000
BOONE - 000031,19,1.000000
BOONE - 000032,19,1.000000
BOONE - 000033,19,1.000000
BOONE - 000034,19,1.000000
BOONE - 000035,19,1.000000
BOONE - 000036,19,1.000000
BOONE - 000037,19,1.000000
BOONE - 000038,19,1.000000
BOONE - 000039,19,1.000000
BOONE - 000040,19,1.000000
BOONE - 000041,19,1.000000
BOONE - 000042,19,1.000000
BOONE - 000043,19,1.000000
BOONE - 000044,19,1.000000
BOONE - 000045,19,1.000000
BOONE - 000046,19,1.000000
BOONE - 000047,19,1.000000
BOONE - 000048,19,1.000000
BOONE - 000049,19,1.000000
BOONE - 000050,19,1.000000
BOONE - 000051,19,1.000000
BOONE - 000052,19,1.000000
BOONE - 000053,19,1.000000
BOONE - 000054,19,1.000000
BOONE - 000055,19,1.000000
BOONE - 000056,19,1.000000
BOONE - 000057,19,1.000000
BOONE - 000058,19,1.000000
BOONE - 000059,19,1.000000
BOONE - 000060,19,1.000000
BOONE - 000061,19,1.000000
BOONE - 000062,19,1.000000
BOONE - 000063,19,1.000000
BOONE - 000064,19,1.000000
BOONE - 000065,19,1.000000
BOONE - 000066,19,1.000000
BOONE - 000067,19,1.000000
BOONE - 000068,19,1.000000
BOONE - 000069,19,1.000000
BOONE - 000070,19,1.000000
BOONE - 000071,19,1.000000
BOONE - 000072,19,1.000000
BOONE - 000073,19,1.000000
BOONE - 000074,19,1.000000
BOONE - 000075,19,1.000000
BUCHANAN - 000002,34,1.000000
BUCHANAN - 000003,34,1.000000
BUCHANAN - 000004,34,1.000000
BUCHANAN - 000005,34,1.000000
BUCHANAN - 000006,34,1.000000
BUCHANAN - 000007,34,1.000000
BUCHANAN - 000008,34,1.000000
BUCHANAN - 000009,34,1.000000
BUCHANAN - 000010,34,1.000000
BUCHANAN - 000011,34,1.000000
BUCHANAN - 000012,34,1.000000
BUCHANAN - 000013,34,1.000000
BUCHANAN - 000014,12,1.000000
BUCHANAN - 000015,34,1.000000
BUCHANAN - 000016,34,1.000000
BUCHANAN - 000017,34,0.642857
BUCHANAN - 000017,12,0.357143
BUCHANAN - 000018,34,0.819048
BUCHANAN - 000018,12,0.180952
BUCHANAN - 000019,12,1.000000
BUCHANAN - 000020,34,1.000000
BUCHANAN - 000021,12,1.000000
BUCHANAN - 000022,12,1.000000
BUCHANAN - 000023,12,1.000000
BUCHANAN - 000024,34,1.000000
BUCHANAN - 000025,34,1.000000
BUCHANAN - 000026,12,1.000000
BUCHANAN - 000027,12,0.730952
BUCHANAN - 000027,34,0.269048
BUCHANAN - 000028,34,1.000000
BUCHANAN - 000029,34,1.000000
BUCHANAN - 000030,34,0.185714
BUCHANAN - 000030,12,0.814286
BUCHANAN - 000031,34,1.000000
BUCHANAN - 000032,34,1.000000
BUCHANAN - 000033,34,1.000000
BUCHANAN - 000034,34,1.000000
BUCHANAN - 000035,34,1.000000
BUCHANAN - 000036,34,1.000000
BUCHANAN - 000037,34,1.000000
BUCHANAN - 000038,34,1.000000
BUCHANAN - 000039,34,1.000000
BUCHANAN - 000040,34,1.000000
BUCHANAN - 000041,34,1.000000
BUCHANAN - 000042,34,1.000000
BUCHANAN - 000043,34,1.000000
BUCHANAN - 000044,34,1.000000
BUCHANAN - 000045,34,1.000000
BUCHANAN - 000046,34,1.000000
BUCHANAN - 000047,34,1.000000
BUCHANAN - 000048,34,1.000000
BUCHANAN - 000049,34,1.000000
BUCHANAN - 000050,34,1.000000
BUCHANAN - 000051,34,1.000000
BUCHANAN - 000052,34,1.000000
BUCHANAN - 000053,34,1.000000
BUCHANAN - 000054,34,1.000000
BUCHANAN - 000055,34,1.000000
BUCHANAN - 000056,34,1.000000
BUCHANAN - 000057,34,1.000000
BUCHANAN - 000058,34,1.000000
BUCHANAN - 000059,34,1.000000
BUCHANAN - 000060,34,1.000000
BUCHANAN - 000061,34,1.000000
BUTLER - 000002,25,1.000000
BUTLER - 000003,25,1.000000
BUTLER - 000004,25,1.000000
BUTLER - 000005,25,1.000000
BUTLER - 000006,25,1.000000
BUTLER - 000007,25,1.000000
BUTLER - 000008,25,1.000000
BUTLER - 000009,25,1.000000
BUTLER - 000010,25,1.000000
BUTLER - 000011,25,1.000000
BUTLER - 000012,25,1.000000
BUTLER - 000013,25,1.000000
BUTLER - 000014,25,1.000000
BUTLER - 000015,25,1.000000
BUTLER - 000016,25,1.000000
BUTLER - 000017,25,1.000000
BUTLER - 000018,25,1.000000
BUTLER - 000019,25,1.000000
BUTLER - 000020,25,1.000000
BUTLER - 000021,25,1.000000
BUTLER - 000022,25,1.000000
BUTLER - 000023,25,1.000000
BUTLER - 000024,25,1.000000
BUTLER - 000025,25,1.000000
BUTLER - 000026,25,1.000000
CALDWELL - 000002,12,1.000000
CALDWELL - 000003,12,1.000000
CALDWELL - 000004,12,1.000000
CALDWELL - 000005,12,1.000000
CALDWELL - 000006,12,1.000000
CALDWELL - 000007,12,1.000000
CALDWELL - 000008,12,1.000000
CALDWELL - 000009,12,1.000000
CALDWELL - 000010,12,1.000000
CALDWELL - 000011,12,1.000000
CALLAWAY - 000002,10,1.000000
CALLAWAY - 000003,10,1.000000
CALLAWAY - 000004,10,1.000000
CALLAWAY - 000005,10,1.000000
CALLAWAY - 000006,10,1.000000
CALLAWAY - 000007,10,1.000000
CALLAWAY - 000008,10,1.000000
CALLAWAY - 000009,10,1.000000
CALLAWAY - 000010,10,1.000000
CALLAWAY - 000011,10,1.000000
CALLAWAY - 000012,10,1.000000
CALLAWAY - 000013,10,1.000000
CALLAWAY - 000014,10,1.000000
CALLAWAY - 000015,10,1.000000
CALLAWAY - 000016,10,1.000000
CALLAWAY - 000017,10,1.000000
CALLAWAY - 000018,10,1.000000
CALLAWAY - 000019,10,1.000000
CALLAWAY - 000020,10,1.000000
CALLAWAY - 000021,10,1.000000
CALLAWAY - 000022,10,1.000000
CALLAWAY - 000023,10,1.000000
CALLAWAY - 000024,10,1.000000
CALLAWAY - 000025,10,1.000000
CALLAWAY - 000026,10,1.000000
CALLAWAY - 000027,10,1.000000
CALLAWAY - 000028,10,1.000000
CAMDEN - 000002,6,1.000000
CAMDEN - 000003,6,1.000000
CAMDEN - 000004,6,1.000000
CAMDEN - 000005,6,1.000000
CAMDEN - 000006,6,1.000000
CAMDEN - 000007,6,1.000000
CAMDEN - 000008,6,1.000000
CAMDEN - 000009,6,1.000000
CAMDEN - 000010,6,1.000000
CAMDEN - 000011,6,1.000000
CAMDEN - 000012,6,1.000000
CAMDEN - 000013,6,1.000000
CAMDEN - 000014,6,1.000000
CAMDEN - 000015,6,1.000000
CAMDEN - 000016,6,1.000000
CAMDEN - 000017,6,1.000000
CAMDEN - 000018,6,1.000000
CAMDEN - 000019,6,1.000000
CAMDEN - 000020,6,1.000000
CAMDEN - 000021,6,1.000000
CAMDEN - 000022,6,1.000000
CAMDEN - 000023,6,1.000000
CAMDEN - 000024,6,1.000000
CAMDEN - 000025,6,1.000000
CAMDEN - 000026,6,1.000000
CAMDEN - 000028,6,1.000000
CAPE GIRARDEAU - 000002,27,1.000000
CAPE GIRARDEAU - 000003,27,1.000000
CAPE GIRARDEAU - 000004,27,1.000000
CAPE GIRARDEAU - 000005,27,1.000000
CAPE GIRARDEAU - 000006,27,1.000000
CAPE GIRARDEAU - 000007,27,1.000000
CAPE GIRARDEAU - 000008,27,1.000000
CAPE GIRARDEAU - 000009,27,1.000000
CAPE GIRARDEAU - 000010,27,1.000000
CAPE GIRARDEAU - 000011,27,1.000000
CAPE GIRARDEAU - 000012,27,1.000000
CAPE GIRARDEAU - 000013,27,1.000000
