precinct_key,district_num,area_weight
ADAIR - 000002,6,1.000000
ADAIR - 000003,6,1.000000
ADAIR - 000004,6,1.000000
ADAIR - 000005,6,1.000000
ADAIR - 000006,6,1.000000
ADAIR - 000007,6,1.000000
ADAIR - 000008,6,1.000000
ADAIR - 000009,6,1.000000
ADAIR - 000010,6,1.000000
ADAIR - 000011,6,1.000000
ADAIR - 000012,6,1.000000
ADAIR - 000013,6,1.000000
ADAIR - 000014,6,1.000000
ADAIR - 000015,6,1.000000
ADAIR - 000016,6,1.000000
ADAIR - 000017,6,1.000000
ADAIR - 000018,6,1.000000
ANDREW - 000002,6,1.000000
ANDREW - 000003,6,1.000000
ANDREW - 000004,6,1.000000
ANDREW - 000005,6,1.000000
ANDREW - 000006,6,1.000000
ANDREW - 000007,6,1.000000
ANDREW - 000008,6,1.000000
ANDREW - 000009,6,1.000000
ANDREW - 000010,6,1.000000
ANDREW - 000011,6,1.000000
ANDREW - 000012,6,1.000000
ANDREW - 000013,6,1.000000
ANDREW - 000014,6,1.000000
ANDREW - 000015,6,1.000000
ANDREW - 000016,6,1.000000
ANDREW - 000017,6,1.000000
ANDREW - 000018,6,1.000000
ANDREW - 000019,6,1.000000
ANDREW - 000020,6,1.000000
ATCHISON - 000002,6,1.000000
ATCHISON - 000003,6,1.000000
ATCHISON - 000004,6,1.000000
ATCHISON - 000005,6,1.000000
ATCHISON - 000006,6,1.000000
ATCHISON - 000007,6,1.000000
AUDRAIN - 000002,6,1.000000
AUDRAIN - 000003,6,1.000000
AUDRAIN - 000004,6,1.000000
AUDRAIN - 000005,6,1.000000
AUDRAIN - 000006,6,1.000000
AUDRAIN - 000007,6,1.000000
AUDRAIN - 000008,6,1.000000
AUDRAIN - 000009,6,1.000000
AUDRAIN - 000010,6,1.000000
AUDRAIN - 000011,6,1.000000
AUDRAIN - 000012,6,1.000000
AUDRAIN - 000013,6,1.000000
AUDRAIN - 000014,6,1.000000
AUDRAIN - 000015,6,1.000000
AUDRAIN - 000017,6,1.000000
AUDRAIN - 000018,6,1.000000
AUDRAIN - 000019,6,1.000000
AUDRAIN - 000020,6,1.000000
AUDRAIN - 000021,6,1.000000
AUDRAIN - 000022,6,1.000000
AUDRAIN - 000023,6,1.000000
AUDRAIN - 000024,6,1.000000
AUDRAIN - 000025,6,1.000000
AUDRAIN - 000026,6,1.000000
BARRY - 000002,7,1.000000
BARRY - 000003,7,1.000000
BARRY - 000004,7,1.000000
BARRY - 000005,7,1.000000
BARRY - 000006,7,1.000000
BARRY - 000007,7,1.000000
BARRY - 000008,7,1.000000
BARRY - 000009,7,1.000000
BARRY - 000010,7,1.000000
BARRY - 000011,7,1.000000
BARRY - 000012,7,1.000000
BARRY - 000013,7,1.000000
BARRY - 000014,7,1.000000
BARRY - 000015,7,1.000000
BARRY - 000016,7,1.000000
BARRY - 000017,7,1.000000
BARRY - 000018,7,1.000000
BARRY - 000019,7,1.000000
BARRY - 000020,7,1.000000
BARRY - 000021,7,1.000000
BARRY - 000022,7,1.000000
BARTON - 000002,4,1.000000
BARTON - 000003,4,1.000000
BARTON - 000004,4,1.000000
BARTON - 000005,4,1.000000
BARTON - 000006,4,1.000000
BARTON - 000007,4,1.000000
BARTON - 000008,4,1.000000
BARTON - 000009,4,1.000000
BARTON - 000010,4,1.000000
BARTON - 000011,4,1.000000
BARTON - 000012,4,1.000000
BARTON - 000013,4,1.000000
BARTON - 000014,4,1.000000
BARTON - 000015,4,1.000000
BARTON - 000016,4,1.000000
BARTON - 000017,4,1.000000
BATES - 000002,4,1.000000
BATES - 000003,4,1.000000
BATES - 000004,4,1.000000
BATES - 000005,4,1.000000
BATES - 000006,4,1.000000
BATES - 000007,4,1.000000
BATES - 000008,4,1.000000
BATES - 000009,4,1.000000
BATES - 000010,4,1.000000
BATES - 000011,4,1.000000
BATES - 000012,4,1.000000
BATES - 000013,4,1.000000
BATES - 000014,4,1.000000
BATES - 000015,4,1.000000
BATES - 000016,4,1.000000
BENTON - 000002,4,1.000000
BENTON - 000003,4,1.000000
BENTON - 000004,4,1.000000
BENTON - 000005,4,1.000000
BENTON - 000006,4,1.000000
BENTON - 000007,4,1.000000
BENTON - 000008,4,1.000000
BENTON - 000009,4,1.000000
BENTON - 000010,4,1.000000
BENTON - 000011,4,1.000000
BENTON - 000012,4,1.000000
BENTON - 000013,4,1.000000
BENTON - 000014,4,1.000000
BENTON - 000015,4,1.000000
BOLLINGER - 000002,8,1.000000
BOLLINGER - 000003,8,1.000000
BOLLINGER - 000004,8,1.000000
BOLLINGER - 000005,8,1.000000
BOLLINGER - 000006,8,1.000000
BOLLINGER - 000007,8,1.000000
BOLLINGER - 000008,8,1.000000
BOLLINGER - 000009,8,1.000000
BOLLINGER - 000010,8,1.000000
BOLLINGER - 000011,8,1.000000
BOLLINGER - 000012,8,1.000000
BOLLINGER - 000014,8,1.000000
BOLLINGER - 000015,8,1.000000
BOONE - 000002,4,1.000000
BOONE - 000003,4,1.000000
BOONE - 000004,4,1.000000
BOONE - 000005,4,1.000000
BOONE - 000006,4,1.000000
BOONE - 000007,4,1.000000
BOONE - 000008,4,1.000000
BOONE - 000009,4,1.000000
BOONE - 000010,3,0.633333
BOONE - 000010,4,0.366667
BOONE - 000011,4,0.830952
BOONE - 000011,3,0.169048
BOONE - 000012,4,1.000000
BOONE - 000013,3,1.000000
BOONE - 000014,4,1.000000
BOONE - 000015,4,1.000000
BOONE - 000016,3,1.000000
BOONE - 000017,4,1.000000
BOONE - 000018,4,1.000000
BOONE - 000019,4,1.000000
BOONE - 000020,3,1.000000
BOONE - 000021,4,1.000000
