statefp20,countyfp20,county_geoid20,county_name,CVAP_TOT24
29,001,29001,Adair County,19626
29,003,29003,Andrew County,13984
29,005,29005,Atchison County,4075
29,007,29007,Audrain County,18841
29,009,29009,Barry County,26278
29,011,29011,Barton County,8896
29,013,29013,Bates County,12414
29,015,29015,Benton County,16624
29,017,29017,Bollinger County,8219
29,019,29019,Boone County,144842
29,021,29021,Buchanan County,63127
29,023,29023,Butler County,32099
29,025,29025,Caldwell County,6764
29,027,29027,Callaway County,35278
29,029,29029,Camden County,35729
29,031,29031,Cape Girardeau County,63768
29,033,29033,Carroll County,6566
29,035,29035,Carter County,3990
29,037,29037,Cass County,84037
29,039,29039,Cedar County,11049
29,041,29041,Chariton County,5634
29,043,29043,Christian County,68747
29,045,29045,Clark County,5074
29,047,29047,Clay County,192656
29,049,29049,Clinton County,16337
29,051,29051,Cole County,59075
29,053,29053,Cooper County,13034
29,055,29055,Crawford County,17633
29,057,29057,Dade County,6015
29,059,29059,Dallas County,13373
29,061,29061,Daviess County,6343
29,063,29063,DeKalb County,8604
29,065,29065,Dent County,11149
29,067,29067,Douglas County,9116
29,069,29069,Dunklin County,19736
29,071,29071,Franklin County,81322
29,073,29073,Gasconade County,11736
29,075,29075,Gentry County,4615
29,077,29077,Greene County,235248
29,079,29079,Grundy County,7206
29,081,29081,Harrison County,6142
29,083,29083,Henry County,17262
29,085,29085,Hickory County,7097
29,087,29087,Holt County,3336
29,089,29089,Howard County,7949
29,091,29091,Howell County,30405
29,093,29093,Iron County,7410
29,095,29095,Jackson County,528738
29,097,29097,Jasper County,90882
29,099,29099,Jefferson County,176460
29,101,29101,Johnson County,41797
29,103,29103,Knox County,2820
29,105,29105,Laclede County,27219
29,107,29107,Lafayette County,25214
29,109,29109,Lawrence County,28143
29,111,29111,Lewis County,7760
29,113,29113,Lincoln County,46929
29,115,29115,Linn County,9029
29,117,29117,Livingston County,11203
29,119,29119,McDonald County,16048
29,121,29121,Macon County,11617
29,123,29123,Madison County,9692
29,125,29125,Maries County,6700
29,127,29127,Marion County,21519
29,129,29129,Mercer County,2534
29,131,29131,Miller County,19125
29,133,29133,Mississippi County,9197
29,135,29135,Moniteau County,11175
29,137,29137,Monroe County,6774
29,139,29139,Montgomery County,8865
29,141,29141,Morgan County,16690
29,143,29143,New Madrid County,11929
29,145,29145,Newton County,44028
29,147,29147,Nodaway County,16901
29,149,29149,Oregon County,6636
29,151,29151,Osage County,10349
29,153,29153,Ozark County,7174
29,155,29155,Pemiscot County,11002
29,157,29157,Perry County,14512
29,159,29159,Pettis County,31017
29,161,29161,Phelps County,34549
29,163,29163,Pike County,13605
29,165,29165,Platte County,82711
29,167,29167,Polk County,24685
29,169,29169,Pulaski County,40999
29,171,29171,Putnam County,3589
29,173,29173,Ralls County,8212
29,175,29175,Randolph County,18886
29,177,29177,Ray County,17743
29,179,29179,Reynolds County,4865
29,181,29181,Ripley County,8058
29,183,29183,St. Charles County,313239
29,185,29185,St. Clair County,7467
29,186,29186,Ste. Genevieve County,14556
29,187,29187,St. Francois County,52498
29,189,29189,St. Louis County,743682
29,195,29195,Saline County,17400
29,197,29197,Schuyler County,2893
29,199,29199,Scotland County,3284
29,201,29201,Scott County,28728
29,203,29203,Shannon County,5537
29,205,29205,Shelby County,4501
29,207,29207,Stoddard County,22120
29,209,29209,Stone County,26569
29,211,29211,Sullivan County,4261
29,213,29213,Taney County,43888
29,215,29215,Texas County,19563
29,217,29217,Vernon County,14741
29,219,29219,Warren County,28449
29,221,29221,Washington County,17898
29,223,29223,Wayne County,8700
29,225,29225,Webster County,29167
29,227,29227,Worth County,1519
29,229,29229,Wright County,14035
29,510,29510,St. Louis city,225260
