district,name,total_population,white_vap_pct,black_vap_pct,hispanic_vap_pct,native_vap_pct,asian_vap_pct,pacific_vap_pct,multiracial_vap_pct
1,District 1,28917,95.06,1.65,1.68,0.17,0.42,0.04,0.03
2,District 2,27927,95.68,0.76,1.4,0.15,0.34,0.02,0.1
3,District 3,28675,92.15,1.04,3.79,0.24,0.95,0.0,0.2
4,District 4,27949,96.34,1.48,0.77,0.05,0.13,0.01,0.04
5,District 5,29742,93.53,3.79,0.71,0.14,0.36,0.0,0.15
6,District 6,28812,90.87,4.77,1.69,0.09,0.45,0.03,0.29
7,District 7,29337,94.13,2.07,2.12,0.19,0.23,0.04,0.07
8,District 8,30304,94.01,1.38,2.07,0.09,0.4,0.0,0.05
9,District 9,28904,92.96,2.96,1.84,0.17,0.64,0.0,0.18
10,District 10,27615,81.7,7.62,5.42,0.32,0.92,1.01,0.25
11,District 11,28827,87.81,4.48,5.02,0.21,0.5,0.01,0.46
12,District 12,29743,79.8,7.02,6.93,0.15,2.49,0.11,0.51
13,District 13,29468,89.0,3.1,4.19,0.16,0.79,0.0,0.43
14,District 14,30115,79.6,7.44,6.13,0.04,3.07,0.0,0.33
15,District 15,29363,81.59,7.38,5.81,0.53,2.11,0.1,0.1
16,District 16,27410,79.11,8.41,7.69,0.18,1.79,0.35,0.31
17,District 17,29548,74.32,9.09,11.38,0.07,2.27,0.15,0.36
18,District 18,28655,74.41,9.26,6.44,0.24,4.05,0.77,0.43
19,District 19,23691,48.13,15.65,27.95,0.11,3.76,0.36,0.54
20,District 20,27803,81.04,7.08,5.87,0.23,1.13,1.04,0.92
21,District 21,28061,74.51,10.16,10.58,0.38,0.49,0.42,0.78
22,District 22,27065,35.9,53.69,6.4,0.11,0.51,0.05,0.34
23,District 23,22366,26.17,54.74,12.93,0.12,2.07,0.0,0.64
24,District 24,32465,72.48,11.92,7.55,0.14,3.12,0.18,0.49
25,District 25,28358,87.63,3.36,3.78,0.21,2.44,0.15,0.36
26,District 26,26777,42.32,46.45,6.1,0.18,1.11,0.18,0.88
27,District 27,28222,39.27,51.39,5.23,0.34,1.49,0.0,0.17
28,District 28,28851,52.84,38.0,5.72,0.02,0.81,0.02,0.44
29,District 29,29127,81.08,9.3,6.07,0.07,0.87,0.17,0.38
30,District 30,27329,83.0,6.95,6.59,0.13,1.96,0.0,0.05
31,District 31,27494,83.92,7.42,4.29,0.06,1.4,0.0,0.4
32,District 32,29055,91.32,2.69,3.07,0.21,0.67,0.07,0.14
33,District 33,29436,85.83,6.22,3.96,0.12,1.41,0.16,0.32
34,District 34,28660,80.59,10.69,4.08,0.2,1.04,0.3,0.08
35,District 35,28725,70.83,21.24,4.27,0.01,1.29,0.17,0.98
36,District 36,27024,61.57,26.69,6.06,0.17,2.0,0.07,0.43
37,District 37,28181,51.74,37.7,5.92,0.0,1.09,0.01,0.4
38,District 38,28180,86.72,5.01,4.52,0.27,1.51,0.06,0.26
39,District 39,29192,87.96,3.04,3.76,0.15,2.4,0.0,0.44
40,District 40,30623,93.26,3.41,1.25,0.24,0.24,0.02,0.08
41,District 41,29875,92.92,1.99,2.43,0.13,0.28,0.18,0.31
42,District 42,31114,92.96,1.03,2.73,0.14,0.49,0.05,0.14
43,District 43,29417,91.44,4.44,1.38,0.44,0.43,0.04,0.15
44,District 44,30319,90.17,3.17,2.67,0.03,1.36,0.0,0.17
45,District 45,32810,79.37,8.75,3.9,0.0,2.43,0.2,0.51
46,District 46,25726,72.16,17.36,4.92,0.07,2.49,0.0,0.25
47,District 47,27295,85.65,5.6,3.28,0.25,3.53,0.01,0.11
48,District 48,28138,91.23,5.09,1.32,0.24,0.05,0.02,0.32
49,District 49,31244,89.75,4.76,2.21,0.31,0.06,0.0,0.09
50,District 50,28664,79.79,10.16,2.18,0.07,6.14,0.03,0.08
51,District 51,29197,85.44,4.72,5.87,0.1,0.37,0.42,0.32
52,District 52,26412,86.73,3.29,6.21,0.0,0.58,0.29,0.24
53,District 53,28482,94.59,0.87,2.36,0.35,0.26,0.0,0.17
54,District 54,29379,87.79,4.02,4.17,0.13,1.09,0.0,0.27
55,District 55,30389,92.79,1.71,2.96,0.21,0.26,0.02,0.18
56,District 56,29854,81.05,9.27,5.53,0.08,1.31,0.11,0.17
57,District 57,30715,91.86,2.16,3.07,0.3,0.38,0.21,0.19
58,District 58,27999,93.08,1.35,2.85,0.05,0.38,0.01,0.15
59,District 59,29537,91.42,2.65,2.31,0.28,0.4,0.04,0.06
60,District 60,29492,76.68,15.26,2.97,0.28,0.97,0.03,0.22
61,District 61,29510,96.04,0.66,1.39,0.28,0.09,0.08,0.2
62,District 62,28560,91.79,2.28,3.59,0.37,0.25,0.02,0.11
63,District 63,27157,86.52,6.73,3.0,0.02,1.36,0.04,0.32
64,District 64,28944,87.89,4.68,3.56,0.0,2.0,0.0,0.13
65,District 65,28582,89.35,4.92,2.19,0.05,1.43,0.1,0.2
66,District 66,25385,17.51,79.27,0.72,0.07,0.19,0.07,0.61
67,District 67,28899,22.13,71.27,2.59,0.01,0.72,0.03,0.36
68,District 68,29798,42.2,53.55,0.61,0.07,0.73,0.01,0.08
69,District 69,28880,90.86,2.26,2.66,0.0,2.48,0.0,0.13
70,District 70,27977,55.22,36.42,2.51,0.0,1.46,0.03,0.97
71,District 71,27961,76.36,10.58,2.33,0.02,8.08,0.01,0.14
72,District 72,26597,63.08,23.51,8.18,0.15,2.34,0.02,0.18
73,District 73,25990,32.48,60.29,2.78,0.03,0.24,0.02,0.55
74,District 74,29101,27.56,66.09,2.59,0.07,1.01,0.0,0.76
75,District 75,25808,43.11,51.47,1.37,0.06,0.65,0.0,1.1
76,District 76,27471,30.42,62.8,2.05,0.21,0.31,0.08,0.84
77,District 77,28280,37.27,51.23,3.53,0.18,5.21,0.07,0.27
78,District 78,26081,44.6,49.15,2.54,0.22,0.95,0.03,0.24
79,District 79,27814,41.33,49.82,3.29,0.08,2.68,0.0,0.31
80,District 80,28755,58.88,27.41,6.57,0.1,4.59,0.02,0.44
81,District 81,27823,60.27,30.54,2.93,0.29,2.79,0.03,0.28
82,District 82,31083,87.76,6.0,2.98,0.02,1.06,0.02,0.32
83,District 83,27773,87.04,6.07,1.94,0.0,2.68,0.0,0.52
84,District 84,28113,38.63,53.45,2.6,0.17,2.14,0.04,0.5
85,District 85,26517,7.36,88.64,0.34,0.17,0.18,0.0,1.17
86,District 86,27434,58.56,30.93,3.08,0.1,3.44,0.04,0.11
87,District 87,24587,76.1,13.3,3.84,0.02,4.55,0.0,0.48
88,District 88,29047,89.47,2.52,2.93,0.08,3.35,0.02,0.29
89,District 89,26833,87.56,2.08,1.98,0.11,6.53,0.01,0.18
90,District 90,26033,91.33,4.07,2.12,0.0,1.38,0.0,0.2
91,District 91,27383,86.96,7.05,2.6,0.04,1.88,0.05,0.18
92,District 92,28932,91.55,2.1,1.98,0.12,1.74,0.0,0.21
93,District 93,26816,88.87,3.87,2.19,0.04,3.19,0.04,0.02
94,District 94,30128,91.85,3.0,2.28,0.01,1.64,0.03,0.03
95,District 95,28954,94.42,1.98,1.15,0.11,0.91,0.06,0.22
96,District 96,28699,94.66,1.63,1.6,0.0,1.23,0.04,0.04
97,District 97,30376,92.37,1.34,3.11,0.1,1.06,0.09,0.18
98,District 98,27897,84.64,3.59,3.9,0.05,6.04,0.0,0.15
99,District 99,26173,76.17,10.14,2.6,0.13,8.84,0.02,0.15
100,District 100,27356,85.96,3.38,3.13,0.04,6.4,0.0,0.0
101,District 101,28033,83.99,2.38,2.4,0.09,8.89,0.0,0.19
102,District 102,28891,91.14,4.19,2.47,0.03,0.57,0.08,0.08
103,District 103,27711,85.81,6.41,3.6,0.02,2.1,0.01,0.21
104,District 104,29268,89.23,4.67,2.34,0.0,1.78,0.0,0.35
105,District 105,28599,83.18,7.42,4.25,0.09,2.76,0.18,0.06
106,District 106,30186,85.16,6.44,3.99,0.02,2.07,0.0,0.62
107,District 107,26181,88.5,4.14,2.62,0.09,2.83,0.02,0.44
108,District 108,28787,87.3,5.57,3.29,0.03,1.94,0.04,0.03
109,District 109,30079,96.03,0.85,1.59,0.09,0.18,0.1,0.13
110,District 110,27700,89.18,0.81,3.29,0.03,5.16,0.01,0.16
111,District 111,28806,95.43,0.42,1.95,0.06,0.89,0.0,0.06
