district,name,total_population,white_vap_pct,black_vap_pct,hispanic_vap_pct,native_vap_pct,asian_vap_pct,pacific_vap_pct,multiracial_vap_pct
1,District 1,141046,91.27,3.07,2.07,0.04,1.87,0.02,0.13
2,District 2,134819,88.71,4.5,2.99,0.04,1.97,0.01,0.15
3,District 3,138648,94.2,1.93,1.27,0.17,0.32,0.03,0.21
4,District 4,141283,75.59,14.61,3.57,0.11,3.48,0.02,0.37
5,District 5,132460,35.34,56.57,2.84,0.18,2.05,0.05,0.43
6,District 6,141684,90.17,4.29,2.35,0.16,0.51,0.02,0.11
7,District 7,134368,69.5,15.63,8.44,0.15,2.65,0.16,0.38
8,District 8,132893,83.2,8.07,4.64,0.11,1.46,0.14,0.27
9,District 9,130067,35.47,54.93,5.42,0.12,0.8,0.04,0.7
10,District 10,141358,90.88,4.05,2.12,0.19,0.57,0.09,0.2
11,District 11,131362,77.8,8.46,9.2,0.22,1.03,0.36,0.49
12,District 12,139084,94.09,1.8,2.12,0.16,0.4,0.02,0.13
13,District 13,137182,28.6,66.52,1.27,0.07,0.49,0.03,0.65
14,District 14,136471,45.16,45.73,3.56,0.07,2.02,0.02,0.51
15,District 15,135996,85.67,2.68,3.08,0.06,6.84,0.0,0.14
16,District 16,134708,86.59,3.69,4.7,0.4,1.27,0.21,0.4
17,District 17,132777,78.11,7.96,7.37,0.23,2.89,0.29,0.28
18,District 18,135434,93.01,3.24,1.39,0.18,0.46,0.01,0.17
19,District 19,144814,81.62,8.79,3.37,0.08,3.16,0.06,0.23
20,District 20,133723,92.99,0.97,2.31,0.32,1.08,0.04,0.18
21,District 21,141129,90.49,3.36,3.36,0.22,0.36,0.1,0.29
22,District 22,140272,94.15,0.94,2.33,0.09,0.88,0.03,0.07
23,District 23,141694,87.01,5.52,3.25,0.03,1.96,0.06,0.29
24,District 24,134957,85.71,6.33,2.35,0.05,3.87,0.03,0.22
25,District 25,133364,87.71,6.67,1.76,0.12,0.24,0.02,0.15
26,District 26,141633,94.85,1.09,1.79,0.12,0.43,0.04,0.27
27,District 27,137224,89.81,4.89,1.87,0.15,0.43,0.05,0.11
28,District 28,143188,93.22,1.08,2.72,0.16,0.29,0.07,0.1
29,District 29,139117,91.5,0.53,4.15,0.35,0.7,0.12,0.15
30,District 30,145644,86.42,4.0,4.43,0.26,1.34,0.12,0.44
31,District 31,138133,88.37,4.37,4.02,0.19,0.68,0.08,0.19
32,District 32,134857,87.72,1.47,5.12,0.8,1.06,0.09,0.22
33,District 33,142256,92.67,1.13,3.03,0.25,0.32,0.01,0.18
34,District 34,141591,83.25,6.1,5.6,0.18,1.62,0.22,0.38
